;user;tweet_type;verified;followers;hashtags
330;GAntonelliAmor;recent;False;263;['AmoresVerdadeiros149']
331;tonznogueira;recent;False;3362;['instagramdown']
332;Marco_Batista;recent;False;72;['ApertaStart']
333;alexnobre;recent;False;1151;['ShangChi']
334;Natanaelmeloo;recent;False;186;['VemDavidLuiz']
335;CarlM_Silva;recent;False;226;['VemDavidLuiz', 'VemDavidLuiz']
336;jsoares_of;recent;False;4;['CidadeAlertaRJ']
337;LidianeDudaa;recent;False;330;['TZNALOJINHA', 'Intimistas']
338;KleversonRizo;recent;False;595;['ABBA', 'ABBAVoyage']
339;AnaPercilio1;recent;False;111;['EPJuliette', 'Juliette']
340;CarlM_Silva;recent;False;226;['VemDavidLuiz', 'VemDavidLuiz']
341;pretinhaw97;recent;False;468;['onedance', 'Drake']
342;Edilsonperesrj1;recent;False;38;['CidadeAlertaRJ']
343;fferxavier;recent;False;515;['fielcomjp', 'fielcomJp', 'fielcomjp']
344;josesjr;recent;False;464;['tbt']
345;Fenixreality;recent;False;2420;['QueroNoTVZ']
346;IsabelGois3;recent;False;288;['PareConfiscoDoria']
347;caelstavisphoto;recent;False;133;['photography', 'monochrome', 'filmphotography', 'rio']
348;avante_lu;recent;False;168;['EPJuliette']
349;rodrigompo;recent;False;217;['VemDavidLuiz']
350;Thiagof_1984;recent;False;438;['vemDavidLuiz']
351;GAntonelliAmor;recent;False;263;['AmoresVerdadeiros149']
352;JPE0512;recent;False;40;['NaVeia']
353;aladri24;recent;False;917;['EPJuliette', 'DiferençaMara', 'Juliette']
354;marcosmafm;recent;False;554;['VemDavidLuiz']
355;GAntonelliAmor;recent;False;263;['AmoresVerdadeiros149']
356;MicheleOrnieski;recent;False;1659;['MPN', 'Morena', 'PrêmiosMTVMIAW', 'MTVMIAWCLIPAOMORENA']
357;vieira_teao;recent;False;2225;['VemDavidLuiz', 'VemDavidLuiz']
358;juddyoficial;recent;False;433;['instagramdown']
359;FlaaviiaLiima;recent;False;585;['vemDavidLuiz']
360;anaviiihtoria;recent;False;75;['tbt']
361;duck_mars;recent;False;24975;['arpex']
362;miliesousa;recent;False;705;['eleedemais']
363;marcosmafm;recent;False;554;['VemDavidLuiz']
364;_JulianaVDias;recent;False;897;['InstagramDown']
365;bibiofc21;recent;False;332;['TardezinhaDosCrias']
366;MFellipeDias;recent;False;630;['HBOMax']
367;goncalvesbrunno;recent;False;1117;['kayka', 'filhode4patas', 'amorsincero']
368;talo77801024;recent;False;7;['Twitter', 'Video', 'vaibe', 'bad']
369;JPE0512;recent;False;40;['NaVeia']
370;RDflamengo;recent;False;47;['vemDavidLuiz']
371;FlaaviiaLiima;recent;False;585;['vemDavidLuiz']
372;IsabelGois3;recent;False;288;['PareConfiscoDoria']
373;BruninPettis;recent;False;1407;['Tbt']
374;sabrinasantos40;recent;False;603;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
375;marcosmafm;recent;False;554;['VemDavidLuiz']
376;RDflamengo;recent;False;47;['vemDavidLuiz']
377;ClaudiaYafo;recent;False;170;['metodoyafo', 'claudiayafo']
378;avante_lu;recent;False;168;['EPJuliette']
379;Otaldoticao;recent;False;388;['Ret']
380;everton_britto;recent;False;68;['prafrenteesteio']
381;jhonadassouza;recent;False;389;['vemDavidLuiz']
